GEO,LANGUAGE,QOUTE,TIME,VALUE
BE,nl,inflatie,2014-01-01,36
BE,nl,inflatie,2014-02-01,31
BE,nl,inflatie,2014-03-01,23
BE,nl,inflatie,2014-04-01,22
BE,nl,inflatie,2014-05-01,26
BE,nl,inflatie,2014-06-01,32
BE,nl,inflatie,2014-07-01,14
BE,nl,inflatie,2014-08-01,18
BE,nl,inflatie,2014-09-01,31
BE,nl,inflatie,2014-10-01,29
BE,nl,inflatie,2014-11-01,33
BE,nl,inflatie,2014-12-01,25
BE,nl,inflatie,2015-01-01,37
BE,nl,inflatie,2015-02-01,24
BE,nl,inflatie,2015-03-01,28
BE,nl,inflatie,2015-04-01,16
BE,nl,inflatie,2015-05-01,25
BE,nl,inflatie,2015-06-01,25
BE,nl,inflatie,2015-07-01,12
BE,nl,inflatie,2015-08-01,14
BE,nl,inflatie,2015-09-01,26
BE,nl,inflatie,2015-10-01,24
BE,nl,inflatie,2015-11-01,23
BE,nl,inflatie,2015-12-01,32
BE,nl,inflatie,2016-01-01,30
BE,nl,inflatie,2016-02-01,20
BE,nl,inflatie,2016-03-01,27
BE,nl,inflatie,2016-04-01,23
BE,nl,inflatie,2016-05-01,29
BE,nl,inflatie,2016-06-01,26
BE,nl,inflatie,2016-07-01,12
BE,nl,inflatie,2016-08-01,15
BE,nl,inflatie,2016-09-01,20
BE,nl,inflatie,2016-10-01,21
BE,nl,inflatie,2016-11-01,24
BE,nl,inflatie,2016-12-01,36
BE,nl,inflatie,2017-01-01,32
BE,nl,inflatie,2017-02-01,28
BE,nl,inflatie,2017-03-01,23
BE,nl,inflatie,2017-04-01,18
BE,nl,inflatie,2017-05-01,26
BE,nl,inflatie,2017-06-01,32
BE,nl,inflatie,2017-07-01,10
BE,nl,inflatie,2017-08-01,14
BE,nl,inflatie,2017-09-01,19
BE,nl,inflatie,2017-10-01,26
BE,nl,inflatie,2017-11-01,27
BE,nl,inflatie,2017-12-01,23
BE,nl,inflatie,2018-01-01,31
BE,nl,inflatie,2018-02-01,23
BE,nl,inflatie,2018-03-01,21
BE,nl,inflatie,2018-04-01,21
BE,nl,inflatie,2018-05-01,27
BE,nl,inflatie,2018-06-01,26
BE,nl,inflatie,2018-07-01,15
BE,nl,inflatie,2018-08-01,26
BE,nl,inflatie,2018-09-01,20
BE,nl,inflatie,2018-10-01,23
BE,nl,inflatie,2018-11-01,62
BE,nl,inflatie,2018-12-01,26
BE,nl,inflatie,2019-01-01,28
BE,nl,inflatie,2019-02-01,22
BE,nl,inflatie,2019-03-01,21
BE,nl,inflatie,2019-04-01,19
BE,nl,inflatie,2019-05-01,20
BE,nl,inflatie,2019-06-01,31
BE,nl,inflatie,2019-07-01,13
BE,nl,inflatie,2019-08-01,16
BE,nl,inflatie,2019-09-01,21
BE,nl,inflatie,2019-10-01,26
BE,nl,inflatie,2019-11-01,26
BE,nl,inflatie,2019-12-01,23
BE,nl,inflatie,2020-01-01,28
BE,nl,inflatie,2020-02-01,18
BE,nl,inflatie,2020-03-01,24
BE,nl,inflatie,2020-04-01,29
BE,nl,inflatie,2020-05-01,29
BE,nl,inflatie,2020-06-01,28
BE,nl,inflatie,2020-07-01,13
BE,nl,inflatie,2020-08-01,21
BE,nl,inflatie,2020-09-01,26
BE,nl,inflatie,2020-10-01,25
BE,nl,inflatie,2020-11-01,25
BE,nl,inflatie,2020-12-01,23
BE,nl,inflatie,2021-01-01,35
BE,nl,inflatie,2021-02-01,31
BE,nl,inflatie,2021-03-01,35
BE,nl,inflatie,2021-04-01,26
BE,nl,inflatie,2021-05-01,53
BE,nl,inflatie,2021-06-01,32
BE,nl,inflatie,2021-07-01,17
BE,nl,inflatie,2021-08-01,25
BE,nl,inflatie,2021-09-01,44
BE,nl,inflatie,2021-10-01,46
BE,nl,inflatie,2021-11-01,64
BE,nl,inflatie,2021-12-01,69
BE,nl,inflatie,2022-01-01,95
BE,nl,inflatie,2022-02-01,85
BE,nl,inflatie,2022-03-01,97
BE,nl,inflatie,2022-04-01,82
